year,player,player_id,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,drops,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_route,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,routes,receptions,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
2014,Amari Cooper,9437,14,9.9,26,71.3,8,79.4,78.8,92.8,93.3,97.1,433,19.5,87,128.7,174,16,79.6,355,433,124,1727,878,7.1,13.9,3.99
2014,Justin Hardy,9540,13,9.5,20,72.5,5,85.0,78.2,89.5,89.2,94.8,625,64.2,423,107.2,167,10,35.1,231,625,121,1494,612,5.1,12.3,2.39
2014,Vince Mayle,9556,12,9.8,25,65.0,19,43.9,60.8,76.7,75.3,95.2,551,0.7,4,104.9,163,9,99.3,575,551,106,1483,827,7.8,14.0,2.69
2014,Kevin White,9440,13,11.1,24,68.1,9,72.6,61.2,78.5,78.2,94.6,558,7.6,45,104.3,160,10,90.7,535,558,109,1447,679,6.2,13.3,2.59
2014,Jaelen Strong,9503,12,13.9,7,53.3,7,70.3,76.2,86.6,87.5,94.7,431,25.3,115,92.2,152,10,74.7,340,431,81,1168,421,5.2,14.4,2.71
2014,Jamison Crowder,9538,13,11.0,11,56.4,10,60.8,58.1,73.0,73.1,97.0,460,17.3,82,81.1,149,6,81.9,388,460,84,1064,550,6.5,12.7,2.31
2014,Tyler Lockett,9502,13,11.9,9,72.1,7,79.1,78.0,92.7,92.8,93.3,415,15.3,68,121.6,147,11,84.3,375,415,106,1515,455,4.3,14.3,3.65
2014,Rashad Greene Sr.,9572,14,11.0,17,69.7,4,86.2,77.1,82.2,83.3,96.2,525,22.3,122,104.9,142,7,76.7,419,525,99,1365,599,6.1,13.8,2.6
2014,Nelson Agholor,9453,13,8.9,17,76.3,7,77.6,77.7,89.2,91.2,95.7,447,52.2,244,129.4,135,12,41.5,194,447,103,1306,573,5.6,12.7,2.92
2014,Mario Alford,9671,13,11.2,6,58.0,12,37.9,52.2,61.7,61.8,94.6,547,4.3,25,118.3,112,11,94.3,545,547,65,945,476,7.3,14.5,1.73
2014,Lucky Whitehead,9853,12,5.5,10,71.7,5,76.7,62.8,76.8,76.8,94.3,331,89.5,314,108.6,106,6,9.4,33,331,76,709,510,6.7,9.3,2.14
2014,Bradley Marquez,9914,12,11.3,11,61.3,6,68.8,75.1,77.3,72.2,93.4,454,52.7,256,97.2,106,10,46.7,227,454,65,819,306,4.7,12.6,1.8
2014,Devin Funchess,9474,11,9.7,7,60.8,6,66.1,75.2,72.0,71.8,96.2,332,39.4,136,79.4,102,4,57.7,199,332,62,733,268,4.3,11.8,2.21
2014,Jordan Leslie,9897,13,15.4,9,54.5,7,58.1,75.0,70.9,70.3,94.7,467,4.7,23,87.0,101,6,94.9,468,467,55,779,260,4.7,14.2,1.67
2014,Ty Montgomery,9527,11,6.5,16,62.2,5,66.6,49.2,78.6,74.6,95.9,280,21.6,63,68.6,98,3,77.4,226,280,61,604,437,7.2,9.9,2.16
2014,Breshad Perriman,9459,13,17.7,7,51.5,8,45.9,74.2,71.8,71.8,94.1,414,5.9,26,107.9,97,9,94.1,414,414,50,1044,253,5.1,20.9,2.52
2014,Stefon Diggs,9579,10,7.3,13,64.9,6,67.2,75.8,79.5,79.3,97.3,355,81.6,298,99.0,97,5,17.0,62,355,63,796,524,8.3,12.6,2.24
2014,Shane Wynn,9780,12,11.3,15,65.1,6,62.9,75.5,74.3,72.9,95.5,294,47.1,145,97.4,86,3,52.9,163,294,56,707,378,6.8,12.6,2.4
2014,Jordan Taylor,9793,10,11.1,9,65.9,7,56.9,47.7,79.1,77.7,97.5,275,91.5,258,123.1,82,7,8.5,24,275,54,842,414,7.7,15.6,3.06
2014,Christopher Harper,9950,12,13.9,2,64.2,1,82.4,49.6,74.8,75.1,95.1,348,8.5,31,107.7,81,6,91.0,333,348,52,634,176,3.4,12.2,1.82
2014,Eli Rogers,9878,13,9.1,4,59.2,7,51.9,73.4,65.8,67.2,97.6,283,99.0,287,87.9,76,3,1.0,3,283,45,525,204,4.5,11.7,1.86
2014,DeVante Parker,9447,6,14.4,15,57.3,2,79.1,73.2,92.2,92.4,97.6,201,10.2,21,86.3,75,5,89.8,185,201,43,855,348,8.1,19.9,4.25
2014,Sammie Coates,9520,12,21.5,10,45.9,5,55.8,72.6,77.3,75.6,94.9,263,10.1,28,94.5,74,4,89.9,249,263,34,741,128,3.8,21.8,2.82
2014,Geremy Davis,9619,10,13.2,1,60.3,0,91.4,73.3,71.5,73.2,96.1,247,19.8,51,78.6,73,3,80.2,206,247,44,521,67,1.5,11.8,2.11
2014,Chandler Worthy,10028,12,10.0,13,62.9,7,49.8,76.4,69.6,68.1,96.3,237,9.8,24,85.8,70,3,89.0,219,237,44,387,322,7.3,8.8,1.63
2014,Kaelin Clay,9617,13,10.2,5,61.4,4,66.4,28.7,59.7,60.6,96.5,327,89.7,304,91.4,70,4,10.3,35,327,43,520,244,5.7,12.1,1.59
2014,Phillip Dorsett,9462,13,18.9,3,53.7,1,83.6,73.2,72.9,71.6,96.9,374,22.8,88,132.3,67,10,77.2,298,374,36,871,360,10.0,24.2,2.33
